index,article
89,22427859
120,16318699
181,19753282
266,22454753
307,22058600
337,18237375
392,20821343
395,18371229
417,15083180
477,22388996
541,17511881
568,19868926
588,19830091
591,17351857
635,17326838
650,16494717
652,22302382
765,20549299
826,19881081
836,21365197
873,22439108
955,2432071
1000,22248307
1098,18535845
1336,21183952
1709,22514568
1827,22466687
1868,21092322
1918,21392460
1926,16554245
2076,19668445
2155,22334370
2193,16909134
2249,21611067
2478,22470365
2489,8903167
2551,20433730
2552,18648518
2635,19566915
2860,22069708
2983,21328543
3142,21453522
3205,18568205
3207,20074341
3264,18279513
3297,17853646
3577,12702229
3640,11470825
3838,19641641
3872,11402072
3925,22036941
3937,18923644
3974,19267941
4045,22461932
4313,20473510
4364,18646515
4473,17971856
4610,16942393
4624,18473012
4658,11747738
4805,16965695
4858,20981102
4887,20066173
4926,22259257
5235,21483677
5311,18203189
5330,17651550
5411,19468474
5512,19503597
5527,21592999
5725,21703018
5758,22035381
5759,17553261
5826,18309693
5959,20585401
6062,12720561
6079,15861495
6134,14111594
6179,15738056
6448,18190689
6522,19582158
6559,20713317
6927,16969049
7051,19721696
7102,21750667
7124,22509165
7175,12533285
7314,19965301
7372,19721811
7448,20306072
7534,16800899
7586,20957137
7662,17125524
7715,20148115
7828,22129905
7911,22429393
8093,15200814
8166,18068815
8190,20358026
8245,21603296
8286,8459226
8454,8349732
8527,11897077
8705,20505833
8821,19935794
8901,16999868
8955,20300794
8970,21463977
9021,22207875
9138,15308859
9318,21304518
9329,15683544
9337,20012482
9508,22216886
9599,19243221
9662,14750982
9778,22495311
10007,21731657
10092,16538219
10173,18215316
10207,19348700
10231,19183751
10328,18765052
10455,17997608
10523,21798075
10656,18978936
10886,19228413
10893,19633710
10997,21274303
11149,9020500
11217,19272188
11341,18575602
11390,21490952
11410,21798066
11477,19123935
11611,22215935
11746,21994691
11836,21139990
11867,19284612
11910,17605813
11945,19785730
11948,22347935
12088,21998762
12102,20179738
12104,21952622
12204,21789182
12206,21374666
12319,16807994
12330,12904268
12441,19468907
12476,22355513
12477,22198791
12510,13723140
12527,19809896
12733,19480580
12778,20653938
12806,11266303
12938,22260904
12962,21415587
12984,16968542
13009,21756350
13107,12498649
13139,20454499
13150,21801642
13264,21274317
13281,22528130
13341,20419095
13385,21769253
13417,18044055
13449,14678568
13464,21902956
13465,20676376
13469,17130148
13545,11207055
13555,16362689
13593,16437342
13628,18218073
13642,22302857
13749,20470441
13810,17697278
13889,18360652
13925,16087714
13970,20650010
14087,17651579
14116,22422192
14175,21781329
14247,18269111
14275,11901200
14367,20176854
14572,19641634
14576,12723977
14765,22496660
14904,16515704
14980,16932998
15107,22462806
15179,21791108
15208,20049324
15352,8645577
15373,1701825
15408,22235172
15448,17032466
15484,15083178
15540,22165855
15576,21435221
15619,19718525
15765,21464890
15808,20505764
15866,18304370
15873,21904467
15882,19398592
15956,21824423
16014,21980521
16042,15631625
16062,21078140
16186,19455231
16305,20678316
16315,20431763
16326,20668852
16349,19148316
16376,21589844
16449,17184555
16559,21619691
16571,22237694
16602,18318904
16642,19775471
16692,20929538
16748,12716443
16867,19895712
17063,21386976
17228,22236411
17303,18680646
17484,20210989
17492,20428968
17659,18757886
17685,20122161
17746,17362521
17846,22204662
18083,19078957
18271,17922904
18278,18439308
18600,21249153
18683,19889198
18759,22291729
18862,19450285
18890,19011309
18975,16444391
19017,22384525
19046,20729831
19145,22347685
19181,22267908
19194,21082267
19243,20569446
19443,22113612
19454,16429284
19492,19427260
19497,19393041
19586,22187229
19593,21871063
19600,21282258
19642,22035338
19664,16280066
19678,18636273
19778,20037713
19873,10725328
19879,16965625
19966,18366792
20068,20461183
20085,12221072
20104,17284154
20483,19457253
20564,7245804
20740,15150595
20818,21762573
20849,21776304
21056,21152061
21103,18414863
21220,21249176
21225,21519485
21266,22114597
21270,20553586
21335,21988835
21597,20063969
21616,22366783
21687,18045564
21713,15150570
21795,12847138
21809,19870953
21824,19331769
21831,14626222
21891,17164992
21929,22233322
21960,22403606
22011,21293778
22038,22000354
22109,20924377
22125,962990
22231,21050423
22331,18392515
22587,21308299
22667,20721567
22767,16859504
22784,20619189
22814,21909392
22817,19636637
22879,22293886
22959,22347941
23239,17325704
23274,19238510
23289,19245930
23306,21047410
23385,17618441
23593,16784312
23678,19755994
23737,20730538
23743,21139939
23746,20840769
23756,22261201
23767,19855400
23794,21234256
23884,21733195
23890,15225363
23895,21918830
24082,16168069
24098,19284656
24164,18724357
24219,21292882
24460,20852671
24710,7175440
24736,17210076
24803,11473726
24812,22188645
24817,22275906
24824,19523314
25021,21572981
25073,2930694
25106,18593459
25196,19543490
25224,19351263
25435,20592702
25490,19050826
25695,22237025
25771,20838650
25811,17019086
25836,9472650
25857,20081859
25870,21253286
25883,17448233
25893,20404950
25958,22166113
25985,21892244
26057,20589192
26287,21958439
26316,9508772
26403,21388544
26447,21912640
26625,21883049
26715,22073151
26855,21792339
26927,19915795
26945,20169035
26986,21824422
27034,16704774
27082,15141377
27152,16390547
27326,19242475
27334,17408482
27363,21807601
27375,20389299
27420,21794140
27460,5578741
27579,20957361
27601,21532572
27639,15534005
27679,20142517
27754,20842221
27801,15084238
27959,20234830
28159,18330604
28244,20012697
28267,9721404
28268,19948016
28343,19506068
28389,17575754
28400,17598890
28514,17876373
28629,21152057
28747,20820870
28774,11286469
28897,22101430
28920,19888225
29029,16444292
29033,19127261
29049,16981986
29066,20593022
29096,14580257
29124,18495035
29271,12527753
29282,22360486
29304,10027323
29374,22164324
29697,20302644
29868,20196864
29949,18766429
30107,15730559
30134,21247505
30182,18601739
30318,14531934
30557,17603914
30650,17705823
30693,18765060
30749,7543139
30999,13531168
31003,20096093
31095,18071284
31148,21050499
31255,19861045
31299,12923340
31329,18258111
31390,21290179
31396,19296203
31411,16961917
31492,21103073
31547,20950421
31571,21645387
31623,17576444
31720,21961505
31757,22347927
31802,21150899
31903,21705770
31918,16704776
32217,11496967
32234,22466664
32269,18258119
32357,19506724
32379,16277731
32387,16704849
32529,21124998
32791,22022631
32841,21651732
32914,21483853
32946,16426445
32973,16737547
32982,12906712
33004,18682846
33076,16934006
33086,21985738
33135,19515227
33196,19841980
33402,21468186
33407,20618978
33532,18612426
33541,17114072
33629,20462442
33650,16356235
