,article
0,12216782
1,2194726
2,18492102
3,34590016
4,23036289
5,30418525
6,16130612
7,34720980
8,11745279
9,15543910
10,27114917
11,3564451
12,26661484
13,22476409
14,13374855
15,34873569
16,32064204
17,26622362
18,4117681
19,19917835
20,19360412
21,18316983
22,29054304
23,33791616
24,24565614
25,29154521
26,28029529
27,20077158
28,29071262
29,10570590
30,18729853
31,21699394
32,22133170
33,17718228
34,2780540
35,15468961
36,27561016
37,24388750
38,17699368
39,17516742
40,30144827
41,7803665
42,2757904
43,32786187
44,9138710
45,17968518
46,29167021
47,26176329
48,30204700
49,18295055
50,30619043
51,20048212
52,24722706
53,12945028
54,21263237
55,17075280
56,25390664
57,34800134
58,31247519
59,23537790
60,26613722
61,31577604
62,10673654
63,25655491
64,22987907
65,16516443
66,2069465
67,16159644
68,29777373
69,28756000
70,25365815
71,18239246
72,4611367
73,15583228
74,31065391
75,20369517
76,15068588
77,22665937
78,27134701
79,20616589
80,26893108
81,619617
82,27819178
83,19758981
84,19850387
85,21272940
86,32158059
87,16936272
88,20467825
89,12046026
90,4722922
91,25617439
92,31451314
93,22226782
94,22669212
95,17345604
96,1080924
97,26090246
98,21727242
99,23384201
100,19228291
101,24083220
102,17135643
103,24772398
104,28166251
105,31855231
106,22555283
107,1596225
108,8830875
109,33185138
110,19683639
111,18956254
112,18766042
113,14744114
114,26768763
115,23967865
116,17143977
117,15547445
118,21881471
119,25645394
120,32670271
121,19479865
122,30719368
123,26677445
124,22955120
125,2698385
126,7750943
127,28270401
128,15057558
129,25390984
130,32944501
131,24915596
132,8832723
133,12774041
134,18984861
135,19825491
136,26969258
137,16540605
138,33228672
139,21286854
140,28082013
141,25600555
142,1409993
143,26550515
144,20004088
145,23500279
146,15552407
147,32439973
148,19190881
149,25132330
150,20569732
151,10815054
152,34688256
153,27056781
154,23023712
155,12522257
156,12917133
157,25537549
158,23258104
159,1711192
160,31019822
161,22096687
162,23572165
163,3121707
164,12547890
165,29392855
166,6032371
