,article
0,29484096
1,11207055
2,23077705
3,28752316
4,24040190
5,24281089
6,24765362
7,30443258
8,23324211
9,26559262
10,23806158
11,29464176
12,28921420
13,21504335
14,22036941
15,26502450
16,20957137
17,26797774
18,27079920
19,25129241
20,25156525
21,24837880
22,30629573
23,19946711
24,30103519
25,16570048
26,26272455
27,18489744
28,28599004
29,24627694
30,26468305
31,28966913
32,24850964
33,27646192
34,10076517
35,28053551
36,28283986
37,27521232
38,21798017
39,20825655
40,18414863
41,29301574
42,27764246
43,18257927
44,26577795
45,26301000
46,20213124
47,25339958
48,29194075
49,27239635
50,28090049
51,28650851
52,27240808
53,19603024
54,26167113
55,27980413
56,22466664
57,24656117
58,29307925
59,19545390
60,26175810
61,23761983
62,29059250
63,27390864
64,26416027
65,25282103
66,25778941
67,16722536
68,28955536
69,28423660
70,29226301
71,23405273
72,28289616
73,26389941
74,28506301
75,17019086
76,25166268
77,28184260
78,22885700
79,24473371
80,27541642
81,27684876
82,17894899
83,28300772
84,30157817
85,25234810
86,23577332
87,29172386
88,19032757
89,19660216
90,27727233
91,11237396
92,23015932
93,25667895
94,28559535
95,21762589
96,24002591
97,21915128
98,27774277
99,26599395
100,29970139
101,26562670
102,26889320
103,23386999
104,28419092
105,29075412
106,21178272
107,28473801
108,24401085
109,28377963
110,28270435
111,22810696
112,21651806
113,26911831
114,15918915
115,29925869
116,24335821
117,27296050
118,26903161
119,28361041
120,19641634
121,24733679
122,17433111
123,28009747
124,24826207
125,27020798
126,21407969
127,24632814
128,24071852
129,24714739
130,27855234
131,28123629
132,26332394
133,28143470
134,28382272
135,29460731
136,22731387
137,25309547
138,26739960
139,19529807
140,26254304
141,15984713
142,30079932
143,30388146
144,25110606
145,26683924
146,27965961
147,29317605
148,27129386
149,25945070
150,15723695
151,27349521
152,28056934
153,25053892
154,28974046
155,27873099
156,24776741
157,24390690
158,21086033
159,23661330
160,29234003
161,25510656
162,28018338
163,28465823
164,26474315
165,26910903
166,28903447
167,27280704
168,30197673
169,22938506
170,28049534
171,23573256
172,27497672
173,22643508
174,26632378
175,25929793
176,28183851
177,25927202
178,27367984
179,29133973
180,22461752
181,23926365
182,11097375
183,21611969
184,25425475
185,29037018
186,26300860
187,28574513
188,23675546
189,28151891
190,24596527
191,25406094
192,24285859
193,26264409
194,21085701
195,20839033
196,27406219
197,17605813
198,27092555
199,28649224
200,21234707
201,26733280
202,19182506
203,25822906
204,22384103
205,24715950
206,24465419
207,21328543
208,25870701
209,27877130
210,29261648
211,16982799
212,29766085
213,28280692
214,27149484
215,21791108
216,21476230
217,23092065
218,24082479
219,10598916
220,24747643
221,16444391
222,21274303
223,21339935
224,30045739
225,21779147
226,19032739
227,26199564
228,23323168
229,30273909
230,27015267
231,29644168
232,29601506
233,21532597
234,24104962
235,21668957
236,18982057
237,27438562
238,20682049
239,27558497
240,29485212
241,27317050
242,23430969
243,27059056
244,28321190
245,18071284
246,26468345
247,23087012
248,22848368
249,29384842
250,24152601
251,29563418
252,26962427
253,27602954
254,23940707
255,29162153
256,27336367
257,29333276
258,27415796
259,24684827
260,25233010
261,26354521
262,25915935
263,28521822
264,23434796
265,29795280
266,28634841
267,29362479
268,27835661
269,24031103
270,27391125
271,27573381
272,25672301
273,11641544
274,28407756
275,20156739
276,29650001
277,27102121
278,11747474
279,24904223
280,29571063
281,30233750
282,28630617
283,25739428
284,25436468
285,26266033
286,28191153
287,27756237
288,22889154
289,24918603
290,28376113
291,24495443
292,27418855
293,25565670
294,18078017
295,28746395
296,21437678
297,25758562
298,29594244
299,19572033
300,22722485
301,25861071
302,25356877
303,26793552
304,26539272
305,25506346
306,22235172
307,26995411
308,24605255
309,25658754
310,28331377
311,25853093
312,30656081
313,21941449
314,26535325
315,29717225
316,24682397
317,29264008
318,28646864
319,21695147
320,28972961
321,22938200
322,29151535
323,20588274
324,23008756
325,23024751
326,22835221
327,29259476
328,26941740
329,26839794
330,29127919
331,29081674
332,26161729
